cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
7xmxcm35,666b7a42e5eace656f7b8b9a95c8c72a222fce0b,PMC,Patients with community acquired pneumonia admitted to European intensive care units: an epidemiological survey of the GenOSept cohort,10.1186/cc13812,PMC4056764,24690444,cc-by,"INTRODUCTION: Community acquired pneumonia (CAP) is the most common infectious reason for admission to the Intensive Care Unit (ICU). The GenOSept study was designed to determine genetic influences on sepsis outcome. Phenotypic data was recorded using a robust clinical database allowing a contemporary analysis of the clinical characteristics, microbiology, outcomes and independent risk factors in patients with severe CAP admitted to ICUs across Europe. METHODS: Kaplan-Meier analysis was used to determine mortality rates. A Cox Proportional Hazards (PH) model was used to identify variables independently associated with 28-day and six-month mortality. RESULTS: Data from 1166 patients admitted to 102 centres across 17 countries was extracted. Median age was 64 years, 62% were male. Mortality rate at 28 days was 17%, rising to 27% at six months. Streptococcus pneumoniae was the commonest organism isolated (28% of cases) with no organism identified in 36%. Independent risk factors associated with an increased risk of death at six months included APACHE II score (hazard ratio, HR, 1.03; confidence interval, CI, 1.01-1.05), bilateral pulmonary infiltrates (HR1.44; CI 1.11-1.87) and ventilator support (HR 3.04; CI 1.64-5.62). Haematocrit, pH and urine volume on day one were all associated with a worse outcome. CONCLUSIONS: The mortality rate in patients with severe CAP admitted to European ICUs was 27% at six months. Streptococcus pneumoniae was the commonest organism isolated. In many cases the infecting organism was not identified. Ventilator support, the presence of diffuse pulmonary infiltrates, lower haematocrit, urine volume and pH on admission were independent predictors of a worse outcome.",2014-04-01,"Walden, Andrew P; Clarke, Geraldine M; McKechnie, Stuart; Hutton, Paula; Gordon, Anthony C; Rello, Jordi; Chiche, Jean-Daniel; Stueber, Frank; Garrard, Christopher S; Hinds, Charles J",Crit Care,,,,document_parses/pdf_json/666b7a42e5eace656f7b8b9a95c8c72a222fce0b.json,document_parses/pmc_json/PMC4056764.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4056764/,
gpgl3nm3,8226a506a56979b50b403869d3d1986551470630,PMC,Preventive Effects of Carnosine on Lipopolysaccharide-induced Lung Injury,10.1038/srep42813,PMC5311717,28205623,cc-by,"Acute respiratory distress syndrome (ARDS) is a potentially devastating form of acute lung injury, which involves neutrophilic inflammation and pulmonary cell death. Reactive oxygen species (ROS) play important roles in ARDS development. New compounds for inhibiting the onset and progression of ARDS are required. Carnosine (β-alanyl-L-histidine) is a small di-peptide with numerous activities, including antioxidant effects, metal chelation, proton buffering capacity and the inhibition of protein carbonylation and glycoxidation. We have examined the preventive effects of carnosine on tissue injury, oedema and inflammation in a murine model for ARDS. Oral administration of carnosine suppressed lipopolysaccharide (LPS)-induced vascular permeability, tissue injury and inflammation in the lung. In vivo imaging analysis revealed that LPS administration increased the level of ROS and that this increase was inhibited by carnosine administration. Carnosine also suppressed LPS-induced neutrophilic inflammation (evaluated by activation of myeloperoxidase in the lung and increased extracellular DNA in bronchoalveolar lavage fluid). Furthermore, carnosine administration suppressed the LPS-induced endoplasmic reticulum stress response in vivo. These results suggest that the oral administration of carnosine suppresses LPS-induced lung injury via carnosine’s ROS-reducing activity. Therefore, carnosine may be beneficial for suppressing the onset and progression of ARDS.",2017-02-16,"Tanaka, Ken-Ichiro; Sugizaki, Toshifumi; Kanda, Yuki; Tamura, Fumiya; Niino, Tomomi; Kawahara, Masahiro",Sci Rep,,,,document_parses/pdf_json/8226a506a56979b50b403869d3d1986551470630.json,document_parses/pmc_json/PMC5311717.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5311717/,
2t09zqqi,610cdf0a90ee7272f51c5531375a7355768f865a,PMC,Non-canonical Translation in Plant RNA Viruses,10.3389/fpls.2017.00494,PMC5382211,28428795,cc-by,"Viral protein synthesis is completely dependent upon the host cell's translational machinery. Canonical translation of host mRNAs depends on structural elements such as the 5′ cap structure and/or the 3′ poly(A) tail of the mRNAs. Although many viral mRNAs are devoid of one or both of these structures, they can still translate efficiently using non-canonical mechanisms. Here, we review the tools utilized by positive-sense single-stranded (+ss) RNA plant viruses to initiate non-canonical translation, focusing on cis-acting sequences present in viral mRNAs. We highlight how these elements may interact with host translation factors and speculate on their contribution for achieving translational control. We also describe other translation strategies used by plant viruses to optimize the usage of the coding capacity of their very compact genomes, including leaky scanning initiation, ribosomal frameshifting and stop-codon readthrough. Finally, future research perspectives on the unusual translational strategies of +ssRNA viruses are discussed, including parallelisms between viral and host mRNAs mechanisms of translation, particularly for host mRNAs which are translated under stress conditions.",2017-04-06,"Miras, Manuel; Miller, W. Allen; Truniger, Verónica; Aranda, Miguel A.",Front Plant Sci,,,,document_parses/pdf_json/610cdf0a90ee7272f51c5531375a7355768f865a.json,document_parses/pmc_json/PMC5382211.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5382211/,
usz7pnvu,7f5ef8185f8934ab5b5eb4344dad20da84d104a3,PMC,Detection of Bocavirus in Children Suffering from Acute Respiratory Tract Infections in Saudi Arabia,10.1371/journal.pone.0055500,PMC3559585,23383205,cc-by,"Human bocavirus (HBoV) was recently discovered in children with respiratory distress and/or diarrhea. To our knowledge, no previous study has reported the existence of bocavirus in Saudi Arabia. Swabs samples from 80 children with respiratory tract infections were examined for the presence of HBoV. Real-time polymerase chain reaction was used as a sensitive method to detect the HBoV. Direct gene sequencing was used to determine the genotype of the detected virus isolates. HBoV was detected in 22.5% of the examined patients. The NP1 partial gene sequence from all patients showed that the circulated strains were related to HBoV-1 genotype. Most of HBoV infected patients showed evidence of mixed coinfection with other viral pathogens. The current study clearly demonstrated that genetically conserved HBoV1 circulates in Saudi Arabia. Interestingly, most of the HBoV1 infected cases were associated with high rates of co-infections with other viruses.",2013-01-30,"Abdel-Moneim, Ahmed S.; Kamel, Mahmoud M.; Al-Ghamdi, Abdullhamid S.; Al-Malky, Mater I. R.",PLoS One,,,,document_parses/pdf_json/7f5ef8185f8934ab5b5eb4344dad20da84d104a3.json,document_parses/pmc_json/PMC3559585.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3559585/,
chj07xz6,ba03011c4b23d19642ea33554a6789895558ad97,PMC,Polyvalent DNA Vaccines Expressing HA Antigens of H5N1 Influenza Viruses with an Optimized Leader Sequence Elicit Cross-Protective Antibody Responses,10.1371/journal.pone.0028757,PMC3244406,22205966,cc-by,"Highly pathogenic avian influenza A (HPAI) H5N1 viruses are circulating among poultry populations in parts of Asia, Africa, and the Middle East, and have caused human infections with a high mortality rate. H5 subtype hemagglutinin (HA) has evolved into phylogenetically distinct clades and subclades based on viruses isolated from various avian species. Since 1997, humans have been infected by HPAI H5N1 viruses from several clades. It is, therefore, important to develop strategies to produce protective antibody responses against H5N1 viruses from multiple clades or antigenic groups. In the current study, we optimized the signal peptide design of DNA vaccines expressing HA antigens from H5N1 viruses. Cross reactivity analysis using sera from immunized rabbits showed that antibody responses elicited by a polyvalent formulation, including HA antigens from different clades, was able to elicit broad protective antibody responses against multiple key representative H5N1 viruses across different clades. Data presented in this report support the development of a polyvalent DNA vaccine strategy against the threat of a potential H5N1 influenza pandemic.",2011-12-21,"Wang, Shixia; Hackett, Anthony; Jia, Na; Zhang, Chunhua; Zhang, Lu; Parker, Chris; Zhou, An; Li, Jun; Cao, Wu-Chun; Huang, Zuhu; Li, Yan; Lu, Shan",PLoS One,,,,document_parses/pdf_json/ba03011c4b23d19642ea33554a6789895558ad97.json,document_parses/pmc_json/PMC3244406.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3244406/,
1n69h3i3,bada3cc0577a226694617d77f95ac443c6431969,PMC,DNA Vaccines against Protozoan Parasites: Advances and Challenges,10.1155/2007/90520,PMC1940056,17710244,no-cc,"Over the past 15 years, DNA vaccines have gone from a scientific curiosity to one of the most dynamic research field and may offer new alternatives for the control of parasitic diseases such as leishmaniasis and Chagas disease. We review here some of the advances and challenges for the development of DNA vaccines against these diseases. Many studies have validated the concept of using DNA vaccines for both protection and therapy against these protozoan parasites in a variety of mouse models. The challenge now is to translate what has been achieved in these models into veterinary or human vaccines of comparable efficacy. Also, genome-mining and new antigen discovery strategies may provide new tools for a more rational search of novel vaccine candidates.",2007-06-24,"Dumonteil, Eric",J Biomed Biotechnol,,,,document_parses/pdf_json/bada3cc0577a226694617d77f95ac443c6431969.json,document_parses/pmc_json/PMC1940056.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1940056/,
dgd0b4st,,PMC,The advent of ECMO and pumpless extracorporeal lung assist in ARDS,10.4103/0974-2700.82212,PMC3132365,21769212,cc-by-nc-sa,"Despite advances in critical care facilities and ventilation therapies acute respiratory distress syndrome (ARDS) is associated with high mortality rates. The condition can stem from a multitude of causes including pneumonia, septicemia and trauma ultimately resulting in ARDS. ARDS is characterized by respiratory insufficiency with severe hypoxemia or hypercapnia. The treatment strategy depends on the knowledge of the underlying disease. But lung-protective ventilation with adjusted positive end-expiratory pressure remains the most effective therapeutic tool despite advances in prone positioning, inhalation of nitric oxide and the use of steroids. Newer modalities including extracorporeal membrane oxygenation (ECMO) and pumpless extracorporeal lung assist (PECLA) are being increasingly introduced in critical care settings as rescue therapies in patients who fail to respond to conservative measures. We describe here the introduction and advances of both ECMO and PECLA in the management of ARDS.",2011,"Hamid, I A; Hariharan, A S; Shankar, N R Ravi",J Emerg Trauma Shock,,,,,document_parses/pmc_json/PMC3132365.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3132365/,
gzxtjf0a,10978f83e192204ea4f2347d49886969558a8b99,PMC,Viral RNA switch mediates the dynamic control of flavivirus replicase recruitment by genome cyclization,10.7554/elife.17636,PMC5101012,27692070,cc-by,"Viral replicase recruitment and long-range RNA interactions are essential for RNA virus replication, yet the mechanism of their interplay remains elusive. Flaviviruses include numerous important human pathogens, e.g., dengue virus (DENV) and Zika virus (ZIKV). Here, we revealed a highly conserved, conformation-tunable cis-acting element named 5′-UAR-flanking stem (UFS) in the flavivirus genomic 5′ terminus. We demonstrated that the UFS was critical for efficient NS5 recruitment and viral RNA synthesis in different flaviviruses. Interestingly, stabilization of the DENV UFS impaired both genome cyclization and vRNA replication. Moreover, the UFS unwound in response to genome cyclization, leading to the decreased affinity of NS5 for the viral 5′ end. Thus, we propose that the UFS is switched by genome cyclization to regulate dynamic RdRp binding for vRNA replication. This study demonstrates that the UFS enables communication between flavivirus genome cyclization and RdRp recruitment, highlighting the presence of switch-like mechanisms among RNA viruses. DOI: http://dx.doi.org/10.7554/eLife.17636.001",2016-10-01,"Liu, Zhong-Yu; Li, Xiao-Feng; Jiang, Tao; Deng, Yong-Qiang; Ye, Qing; Zhao, Hui; Yu, Jiu-Yang; Qin, Cheng-Feng",,,,,document_parses/pdf_json/10978f83e192204ea4f2347d49886969558a8b99.json,document_parses/pmc_json/PMC5101012.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5101012/,
yg2fmt42,94bb822945a2854f5d541d3b83b5a100f1b7f50a,PMC,Two case reports: Whole genome sequencing of two clinical macrolide-resistant Mycoplasma pneumoniae isolates with different responses to azithromycin,10.1097/md.0000000000004963,PMC5044926,27661056,cc-by,"BACKGROUND: Cases of macrolide-resistant Mycoplasma pneumoniae have increased rapidly since 2000, especially in Asia. Patients infected with macrolide-resistant M pneumoniae usually present with severe M pneumoniae pneumonia. The aim of this study was to identify indicators for whether children at an early stage of M pneumoniae infection develop mild or severe pneumonia. CASE SUMMARY: Herein, we retrospectively reviewed 2 pediatric cases caused by macrolide-resistant M pneumoniae, but with markedly different severity of pneumonia. First, we compared the clinical courses of the patients, then isolated the pathogens and tested their response to macrolides, then finally, carried out whole genome sequencing of these isolates. Despite the difference in clinical presentation of the infection, both isolates exhibited a high level of resistance to macrolide antibiotics. Analysis of clinical data showed that the erythrocyte sedimentation rate in blood samples of the patients in the early stages of disease varied greatly. Genome sequence analysis revealed single nucleotide polymorphisms mainly focused on adhesin P1, which is involved in the pathogenicity of M pneumoniae. CONCLUSION: The differences of erythrocyte sedimentation rate in the early stage of M pneumoniae pneumonia and mutations in P1 protein may help us to distinguish between severe or mild disease after infection with macrolide-resistant M pneumoniae. These findings could lead to the development of screening assays that will allow us to distinguish severe or mild M pneumoniae pneumonia early.",2016-09-23,"Li, Shaoli; Sun, Hongmei; Liu, Fei; Feng, Yanling; Zhao, Hanqing; Xue, Guanhua; Yan, Chao",Medicine (Baltimore),,,,document_parses/pdf_json/94bb822945a2854f5d541d3b83b5a100f1b7f50a.json,document_parses/pmc_json/PMC5044926.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5044926/,
vhiwrhkb,b2bf5dca8f3b6eb22116446001a8329b1ec0f3c3,PMC,Leukemia inhibitory factor protects the lung during respiratory syncytial viral infection,10.1186/s12865-014-0041-4,PMC4189665,25277705,cc-by,"BACKGROUND: Respiratory syncytial virus (RSV) infects the lung epithelium where it stimulates the production of numerous host cytokines that are associated with disease burden and acute lung injury. Characterizing the host cytokine response to RSV infection, the regulation of host cytokines and the impact of neutralizing an RSV-inducible cytokine during infection were undertaken in this study. METHODS: A549, primary human small airway epithelial (SAE) cells and wild-type, TIR-domain-containing adapter-inducing interferon-β (Trif) and mitochondrial antiviral-signaling protein (Mavs) knockout (KO) mice were infected with RSV and cytokine responses were investigated by ELISA, multiplex analysis and qPCR. Neutralizing anti-leukemia inhibitory factor (LIF) IgG or control IgG was administered to a group of wild-type animals prior to RSV infection. RESULTS AND DISCUSSION: RSV-infected A549 and SAE cells release a network of cytokines, including newly identified RSV-inducible cytokines LIF, migration inhibitory factor (MIF), stem cell factor (SCF), CCL27, CXCL12 and stem cell growth factor beta (SCGF-β). These RSV-inducible cytokines were also observed in the airways of mice during an infection. To identify the regulation of RSV inducible cytokines, Mavs and Trif deficient animals were infected with RSV. In vivo induction of airway IL-1β, IL-4, IL-5, IL-6, IL-12(p40), IFN-γ, CCL2, CCL5, CCL3, CXCL1, IP-10/CXCL10, IL-22, MIG/CXCL9 and MIF were dependent on Mavs expression in mice. Loss of Trif expression in mice altered the RSV induction of IL-1β, IL-5, CXCL12, MIF, LIF, CXCL12 and IFN-γ. Silencing of retinoic acid–inducible gene-1 (RIG-I) expression in A549 cells had a greater impact on RSV-inducible cytokines than melanoma differentiation-associated protein 5 (MDA5) and laboratory of genetics and physiology 2 (LGP2), and Trif expression. To evaluate the role of LIF in the airways during RSV infection, animals were treated with neutralizing anti-LIF IgG, which enhanced RSV pathology observed with increased airspace protein content, apoptosis and airway hyperresponsiveness compared to control IgG treatment. CONCLUSIONS: RSV infection in the epithelium induces a network of immune factors to counter infection, primarily in a RIG-I dependent manner. Expression of LIF protects the lung from lung injury and enhanced pathology during RSV infection. ELECTRONIC SUPPLEMENTARY MATERIAL: The online version of this article (doi:10.1186/s12865-014-0041-4) contains supplementary material, which is available to authorized users.",2014-10-03,"Foronjy, Robert F; Dabo, Abdoulaye J; Cummins, Neville; Geraghty, Patrick",BMC Immunol,,,,document_parses/pdf_json/b2bf5dca8f3b6eb22116446001a8329b1ec0f3c3.json,document_parses/pmc_json/PMC4189665.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4189665/,
